vendor,area,cluster,bsc,bsc_name,bts_index,site_name,site_id,sector,cell_name,cell_id,cell_index,active_state,admin_state,frequency_band,bcch,ncc,bcc,lac,rac,mcc,mnc,lat,long,azimuth,etilt,mtilt,height,structure,last_update,date
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,6,609-Baida_Sahab_PC_Zain,609,609_D,609-Baida_Sahab_PC_Zain-D,6094,16,ACTIVATED,UNLOCK,GSM900,64,3,3,1001,6,416,1,31.906167,36.061528,340,RET,0,40,Tower 45m,Site Audit,08/12/2021
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,6,609-Baida_Sahab_PC_Zain,609,609_B,609-Baida_Sahab_PC_Zain-B,6092,646,ACTIVATED,UNLOCK,GSM900,69,4,4,1001,6,416,1,31.906167,36.061528,140,RET,-2,45,Tower 45m,Site Audit,08/12/2021
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,7,610-Haier_Factory_PC_Fiber_TASC,610,610_A,610-Haier_Factory_PC_Fiber_TASC-A,6101,17,DEACTIVATED,UNLOCK,GSM900,72,0,2,1001,6,416,1,31.807472,36.040472,75,4,0,12,Tower 12m,Site Audit,29/10/2024
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,7,610-Haier_Factory_PC_Fiber_TASC,610,610_B,610-Haier_Factory_PC_Fiber_TASC-B,6102,18,ACTIVATED,UNLOCK,GSM900,64,2,3,1001,6,416,1,31.807472,36.040472,175,RET,0,15,Tower 12m,Site Audit,29/10/2024
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,7,610-Haier_Factory_PC_Fiber_TASC,610,610_C,610-Haier_Factory_PC_Fiber_TASC-C,6103,19,ACTIVATED,UNLOCK,GSM900,70,4,0,1001,6,416,1,31.807472,36.040472,275,RET,0,17,Tower 12m,Site Audit,29/10/2024
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,8,611-Sahab_Bridge_PB_Fiber_TASC,611,611_A,611-Sahab_Bridge_PB_Fiber_TASC-A,6111,20,ACTIVATED,UNLOCK,GSM900,67,5,2,1001,6,416,1,31.855222,36.006056,40,RET,0,28,Tower 16m,Site Audit,15/11/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,8,611-Sahab_Bridge_PB_Fiber_TASC,611,611_B,611-Sahab_Bridge_PB_Fiber_TASC-B,6112,21,ACTIVATED,UNLOCK,GSM900,73,6,0,1001,6,416,1,31.855222,36.006056,180,RET,0,24,Tower 16m,Site Audit,15/11/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,8,611-Sahab_Bridge_PB_Fiber_TASC,611,611_C,611-Sahab_Bridge_PB_Fiber_TASC-C,6113,22,ACTIVATED,UNLOCK,GSM900,64,0,5,1001,6,416,1,31.855222,36.006056,350,RET,0,24,Tower 16m,Site Audit,15/11/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,8,611-Sahab_Bridge_PB_Fiber_TASC,611,611_D,611-Sahab_Bridge_PB_Fiber_TASC-D,6114,23,ACTIVATED,UNLOCK,GSM900,71,5,0,1001,6,416,1,31.855222,36.006056,270,RET,0,28,Tower 16m,Site Audit,15/11/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,9,612-Sahab_Ind_PB_Fiber_Zain_TASC,612,612_A,612-Sahab_Ind_PB_Fiber_Zain_TASC-A,6121,24,ACTIVATED,UNLOCK,GSM900,70,7,3,1001,6,416,1,31.842889,36.015417,30,60,4,31,Tower 30m,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,9,612-Sahab_Ind_PB_Fiber_Zain_TASC,612,612_B,612-Sahab_Ind_PB_Fiber_Zain_TASC-B,6122,25,ACTIVATED,UNLOCK,GSM900,67,6,7,1001,6,416,1,31.842889,36.015417,160,85,2,31,Tower 30m,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,9,612-Sahab_Ind_PB_Fiber_Zain_TASC,612,612_C,612-Sahab_Ind_PB_Fiber_Zain_TASC-C,6123,26,ACTIVATED,UNLOCK,GSM900,65,1,4,1001,6,416,1,31.842889,36.015417,300,50,0,31,Tower 30m,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,10,613-Sahab_City_PC,613,613_A,613-Sahab_City_PC-A,6131,27,ACTIVATED,UNLOCK,GSM900,65,3,5,1001,6,416,1,31.870694,36.00525,5,RET,0,17,Mast 6m ,Site Audit,15/11/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,10,613-Sahab_City_PC,613,613_B,613-Sahab_City_PC-B,6132,28,DEACTIVATED,UNLOCK,GSM900,74,0,3,1001,6,416,1,31.870694,36.00525,110,RET,0,17,Mast 6m ,Site Audit,15/11/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,10,613-Sahab_City_PC,613,613_C,613-Sahab_City_PC-C,6133,29,DEACTIVATED,UNLOCK,GSM900,67,0,7,1001,6,416,1,31.870694,36.00525,240,RET,0,17,Mast 6m ,Site Audit,15/11/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,11,614-Sahab_PA_Fiber_TASC,614,614_A,614-Sahab_PA_Fiber_TASC-A,6141,30,ACTIVATED,UNLOCK,GSM900,124,7,6,1001,6,416,1,31.880444,35.987167,50,20,0,26,Tower 30m,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,11,614-Sahab_PA_Fiber_TASC,614,614_B,614-Sahab_PA_Fiber_TASC-B,6142,31,ACTIVATED,UNLOCK,GSM900,67,1,6,1001,6,416,1,31.880444,35.987167,170,60,2,26,Tower 30m,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,11,614-Sahab_PA_Fiber_TASC,614,614_C,614-Sahab_PA_Fiber_TASC-C,6143,32,ACTIVATED,UNLOCK,GSM900,72,7,7,1001,6,416,1,31.880444,35.987167,300,80,0,26,Tower 30m,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,12,615-Mughayer_Muhanna_PE_EBand_TASC_O,615,615_A,615-Mughayer_Muhanna_PE_EBand_TASC_O-A,6151,33,ACTIVATED,UNLOCK,GSM900,67,3,6,1001,6,416,1,31.8334656,36.1119154,55,-,0,10,Mast 9m ,Site Audit,10/08/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,12,615-Mughayer_Muhanna_PE_EBand_TASC_O,615,615_B,615-Mughayer_Muhanna_PE_EBand_TASC_O-B,6152,323,ACTIVATED,UNLOCK,GSM900,65,0,6,1001,6,416,1,31.8334656,36.1119154,160,-,4,12,Mast 9m ,Site Audit,10/08/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,13,616-Muwaqqar_PA_Fiber_Manage,616,616_A,616-Muwaqqar_PA_Fiber_Manage-A,6161,34,ACTIVATED,UNLOCK,GSM900,67,7,6,1001,6,416,1,31.806444,36.1,60,75,4,35,Tower 45m,-,
Huawei,South Jordan,7,BSC_AA_01,BSC_AA_01,14,738-Railway_Maan_PF_O,738,738_A,738-Railway_Maan_PF_O-A,7381,86,DEACTIVATED,UNLOCK,GSM900,66,1,0,1102,7,416,1,30.177464,35.773656,340,RET,0,9,Mast 6m ,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,15,618-Iskan_Rawda_PF_TASC_O,618,618_A,618-Iskan_Rawda_PF_TASC_O-A,6181,38,ACTIVATED,UNLOCK,GSM900,65,4,5,1001,6,416,1,31.8236108,36.1535366,40,4,0,40,Tower 45m,Site Audit,10/08/2022
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,15,618-Iskan_Rawda_PF_TASC_O,618,618_B,618-Iskan_Rawda_PF_TASC_O-B,6182,39,ACTIVATED,UNLOCK,GSM900,70,0,0,1001,6,416,1,31.8236108,36.1535366,150,5,0,40,Tower 45m,Site Audit,10/08/2022
